t,MV,PV,DV
3.900000000000000000e+01,5.000000000000000000e+01,4.120100000000000051e+01,3.000000000000000000e+01
4.000000000000000000e+01,5.000000000000000000e+01,4.123299999999999699e+01,3.000000000000000000e+01
4.100000000000000000e+01,5.000000000000000000e+01,4.129800000000000182e+01,3.000000000000000000e+01
4.200000000000000000e+01,5.000000000000000000e+01,4.142699999999999960e+01,3.000000000000000000e+01
4.300000000000000000e+01,5.000000000000000000e+01,4.145900000000000318e+01,3.000000000000000000e+01
4.400000000000000000e+01,5.000000000000000000e+01,4.145900000000000318e+01,3.000000000000000000e+01
4.500000000000000000e+01,5.000000000000000000e+01,4.152300000000000324e+01,3.000000000000000000e+01
4.600000000000000000e+01,5.000000000000000000e+01,4.152300000000000324e+01,3.000000000000000000e+01
4.700000000000000000e+01,5.000000000000000000e+01,4.152300000000000324e+01,3.000000000000000000e+01
4.800000000000000000e+01,5.000000000000000000e+01,4.152300000000000324e+01,3.000000000000000000e+01
4.900000000000000000e+01,5.000000000000000000e+01,4.152300000000000324e+01,3.000000000000000000e+01
5.000000000000000000e+01,5.000000000000000000e+01,4.152300000000000324e+01,3.000000000000000000e+01
5.100000000000000000e+01,5.000000000000000000e+01,4.152300000000000324e+01,3.000000000000000000e+01
5.200000000000000000e+01,5.000000000000000000e+01,4.155599999999999739e+01,3.000000000000000000e+01
5.300000000000000000e+01,5.000000000000000000e+01,4.158800000000000097e+01,3.000000000000000000e+01
5.400000000000000000e+01,5.000000000000000000e+01,4.178099999999999881e+01,3.000000000000000000e+01
5.500000000000000000e+01,5.000000000000000000e+01,4.181300000000000239e+01,3.000000000000000000e+01
5.600000000000000000e+01,5.000000000000000000e+01,4.184599999999999653e+01,3.000000000000000000e+01
5.700000000000000000e+01,5.000000000000000000e+01,4.184599999999999653e+01,3.000000000000000000e+01
5.800000000000000000e+01,5.000000000000000000e+01,4.184599999999999653e+01,3.000000000000000000e+01
5.900000000000000000e+01,5.000000000000000000e+01,4.184599999999999653e+01,3.000000000000000000e+01
6.000000000000000000e+01,5.000000000000000000e+01,4.184599999999999653e+01,3.000000000000000000e+01
6.100000000000000000e+01,5.000000000000000000e+01,4.184599999999999653e+01,3.000000000000000000e+01
6.200000000000000000e+01,5.000000000000000000e+01,4.184599999999999653e+01,3.000000000000000000e+01
6.300000000000000000e+01,5.000000000000000000e+01,4.184599999999999653e+01,3.000000000000000000e+01
6.400000000000000000e+01,5.000000000000000000e+01,4.194200000000000017e+01,3.000000000000000000e+01
6.500000000000000000e+01,5.000000000000000000e+01,4.197500000000000142e+01,3.000000000000000000e+01
6.600000000000000000e+01,5.000000000000000000e+01,4.190999999999999659e+01,3.000000000000000000e+01
6.700000000000000000e+01,5.000000000000000000e+01,4.203900000000000148e+01,3.000000000000000000e+01
6.800000000000000000e+01,5.000000000000000000e+01,4.200699999999999790e+01,3.000000000000000000e+01
6.900000000000000000e+01,5.000000000000000000e+01,4.210399999999999920e+01,3.000000000000000000e+01
7.000000000000000000e+01,5.000000000000000000e+01,4.216799999999999926e+01,3.000000000000000000e+01
7.100000000000000000e+01,5.000000000000000000e+01,4.216799999999999926e+01,3.000000000000000000e+01
7.200000000000000000e+01,5.000000000000000000e+01,4.216799999999999926e+01,3.000000000000000000e+01
7.300000000000000000e+01,5.000000000000000000e+01,4.216799999999999926e+01,3.000000000000000000e+01
7.400000000000000000e+01,5.000000000000000000e+01,4.216799999999999926e+01,3.000000000000000000e+01
7.500000000000000000e+01,5.000000000000000000e+01,4.216799999999999926e+01,3.000000000000000000e+01
7.600000000000000000e+01,5.000000000000000000e+01,4.216799999999999926e+01,3.000000000000000000e+01
