t,SP,PV,MV,MVFF,MVFB,MVP,MVI,MVD,DV,Manual Mode,
1.000099999999999989e+00,0.000000000000000000e+00,3.350000000000000000e+01,4.405530000000000257e+01,3.363000000000000256e+01,1.042530000000000001e+01,-5.683470000000000510e+01,3.363000000000000256e+01,3.363000000000000256e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,3.363000000000000256e+01,2.410106608639588543e+01,1.681500000000000128e+01,7.286066086395884156e+00,-5.661499999999999488e+01,3.322847517730496492e+01,3.067259090909091412e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.001799999999999802e+00,0.000000000000000000e+00,3.353000000000000114e+01,1.218250211593692889e+01,8.407500000000000639e+00,3.775002115936928249e+00,-5.683470000000000510e+01,3.282539219858156088e+01,2.778430991735537248e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.000899999999999679e+00,0.000000000000000000e+00,3.346999999999999886e+01,5.296839544468775252e+00,4.203750000000000320e+00,1.093089544468774932e+00,-5.666570000000000107e+01,3.242350780141843813e+01,2.533528174305033787e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.001000000000000334e+00,0.000000000000000000e+00,3.346999999999999886e+01,2.101875000000003713e+00,2.101875000000000160e+00,3.552713678800500929e-15,-5.656429999999999580e+01,3.348613477904514468e+01,2.307816522095485468e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.002900000000000347e+00,0.000000000000000000e+00,3.346999999999999886e+01,1.050937500000003633e+00,1.050937500000000080e+00,3.552713678800500929e-15,-5.656429999999999580e+01,3.558414979913194998e+01,2.098015020086804938e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.003300000000000303e+00,0.000000000000000000e+00,3.346999999999999886e+01,5.254687500000035927e-01,5.254687500000000400e-01,3.552713678800500929e-15,-5.656429999999999580e+01,3.749143618102904441e+01,1.907286381897095495e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.003000000000000114e+00,0.000000000000000000e+00,3.346999999999999886e+01,2.627343750000035727e-01,2.627343750000000200e-01,3.552713678800500929e-15,-5.656429999999999580e+01,3.922533289184458738e+01,1.733896710815541198e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.004200000000000870e+00,0.000000000000000000e+00,3.346999999999999886e+01,1.313671875000017863e-01,1.313671875000000100e-01,1.776356839400250465e-15,-5.656429999999999580e+01,4.080160262894962386e+01,1.576269737105037372e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.000430000000000064e+01,4.000000000000000000e+01,3.346999999999999886e+01,9.703825120863193376e+01,6.568359375000000500e-02,9.697256761488193888e+01,1.103570000000000206e+01,4.087987000483614963e+01,4.505699761004579074e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.100500000000000078e+01,4.000000000000000000e+01,3.346999999999999886e+01,9.298758609582112911e+01,3.284179687500000250e-02,9.295474429894612456e+01,1.103570000000000206e+01,4.095813738072267540e+01,4.096090691822344354e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.200549999999999962e+01,4.000000000000000000e+01,3.346999999999999886e+01,8.932571376252256812e+01,1.642089843750000125e-02,8.930929286408506584e+01,1.103570000000000206e+01,4.103640475660920117e+01,3.723718810747585906e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.300629999999999953e+01,4.000000000000000000e+01,3.346999999999999886e+01,8.601057177032890877e+01,8.210449218750000625e-03,8.600236132111015763e+01,1.103570000000000206e+01,4.111467213249572694e+01,3.385198918861441797e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.400730000000000075e+01,4.000000000000000000e+01,3.346999999999999886e+01,8.300728035900473856e+01,4.105224609375000312e-03,8.300317513439536299e+01,1.103570000000000206e+01,4.119293950838225271e+01,3.077453562601310466e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.500760000000000005e+01,4.000000000000000000e+01,3.346999999999999886e+01,8.028581006567628719e+01,2.052612304687500156e-03,8.028375745337160652e+01,1.103570000000000206e+01,4.127120688426877848e+01,2.797685056910282242e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.600769999999999982e+01,4.000000000000000000e+01,3.346999999999999886e+01,7.781970108367384853e+01,1.026306152343750078e-03,7.781867477752150819e+01,1.103570000000000206e+01,4.134947426015530425e+01,2.543350051736620188e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.700840000000000174e+01,4.000000000000000000e+01,3.346999999999999886e+01,7.558531889581455232e+01,5.131530761718750390e-04,7.558480574273838215e+01,1.103570000000000206e+01,4.142774163604183002e+01,2.312136410669654651e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.800900000000000034e+01,4.000000000000000000e+01,3.346999999999999886e+01,7.356138750364513612e+01,2.565765380859375195e-04,7.356113092710704393e+01,1.103570000000000206e+01,4.150600901192835579e+01,2.101942191517867897e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.900910000000000011e+01,4.000000000000000000e+01,3.346999999999999886e+01,7.172867005351908176e+01,1.282882690429687598e-04,7.172854176525004277e+01,1.103570000000000206e+01,4.158427638781488156e+01,1.910856537743516270e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.000900000000000034e+01,4.000000000000000000e+01,3.346999999999999886e+01,7.006973097823153296e+01,6.414413452148437988e-05,7.006966683409700636e+01,1.103570000000000206e+01,4.166254376370140733e+01,1.737142307039560052e+01,0.000000000000000000e+00,0.000000000000000000e+00
