t,SP,PV,MV,DV,MANVal,MVFF,MVFB,Manual Mode,
0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+01,3.000000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,3.003687436377256859e+01,2.992269218830806565e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.992269218830805499e+01,1.065814103640150279e-14,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,3.007351254918213357e+01,2.984558359320772070e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.984558359320772780e+01,-7.105427357601001859e-15,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010991573636492546e+01,2.976867370133241053e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.976867370133239632e+01,1.421085471520200372e-14,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00,3.014608510010202735e+01,2.969196200063836244e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.969196200063834112e+01,2.131628207280300558e-14,0.000000000000000000e+00
5.000000000000000000e+00,0.000000000000000000e+00,3.018202180984254568e+01,2.961544798040135262e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.961544798040134907e+01,3.552713678800500929e-15,0.000000000000000000e+00
6.000000000000000000e+00,0.000000000000000000e+00,3.021772702972669578e+01,2.953913113121330980e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.953913113121329914e+01,1.065814103640150279e-14,0.000000000000000000e+00
7.000000000000000000e+00,0.000000000000000000e+00,3.025320191860874530e+01,2.946301094497878381e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.946301094497878026e+01,3.552713678800500929e-15,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,3.028844763007992569e+01,2.938708691491171976e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.938708691491170910e+01,1.065814103640150279e-14,0.000000000000000000e+00
9.000000000000000000e+00,0.000000000000000000e+00,3.032346531249118726e+01,2.931135853553194082e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.931135853553194792e+01,-7.105427357601001859e-15,0.000000000000000000e+00
1.000000000000000000e+01,4.000000000000000000e+01,3.062234111386867141e+01,1.292358253026619650e+02,5.000000000000000000e+01,0.000000000000000000e+00,2.923582530266194723e+01,1.000000000000000142e+02,0.000000000000000000e+00
1.100000000000000000e+01,4.000000000000000000e+01,3.086881493953960032e+01,1.098080129146559045e+02,5.000000000000000000e+01,0.000000000000000000e+00,2.916048671342338494e+01,8.064752620123252314e+01,0.000000000000000000e+00
1.200000000000000000e+01,4.000000000000000000e+01,3.108236680528901275e+01,9.767638944424514591e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.908534226623382324e+01,6.859104717801132267e+01,0.000000000000000000e+00
1.300000000000000000e+01,4.000000000000000000e+01,3.127498260027633847e+01,9.003305017955183587e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.901039146080336195e+01,6.102265871874847392e+01,0.000000000000000000e+00
1.400000000000000000e+01,4.000000000000000000e+01,3.145403982525072450e+01,8.515133145083449051e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.893563379813131320e+01,5.621569765270317731e+01,0.000000000000000000e+00
1.500000000000000000e+01,4.000000000000000000e+01,3.162408210220066351e+01,8.196945053386151869e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.886106878050287605e+01,5.310838175335864264e+01,0.000000000000000000e+00
1.600000000000000000e+01,4.000000000000000000e+01,3.178791036317365837e+01,7.983447594158617733e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.878669591148582896e+01,5.104778003010034837e+01,0.000000000000000000e+00
1.700000000000000000e+01,4.000000000000000000e+01,3.194725384889029129e+01,7.834488867742275886e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.871251469592721151e+01,4.963237398149554735e+01,0.000000000000000000e+00
1.800000000000000000e+01,4.000000000000000000e+01,3.210318272241947568e+01,7.725376941111470330e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.863852463995004527e+01,4.861524477116465448e+01,0.000000000000000000e+00
1.900000000000000000e+01,4.000000000000000000e+01,3.225636179581457696e+01,7.640926597351979410e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.856472525095002979e+01,4.784454072256976076e+01,0.000000000000000000e+00
2.000000000000000000e+01,4.000000000000000000e+01,3.240720655333064570e+01,7.571798540444817149e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.849111603759227407e+01,4.722686936685589387e+01,0.000000000000000000e+00
2.100000000000000000e+01,4.000000000000000000e+01,3.255597909448322724e+01,7.512248285235678225e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.841769650980802098e+01,4.670478634254875772e+01,0.000000000000000000e+00
2.200000000000000000e+01,4.000000000000000000e+01,3.270284713238496721e+01,7.458741896288761097e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.834446617879138230e+01,4.624295278409623222e+01,0.000000000000000000e+00
2.300000000000000000e+01,4.000000000000000000e+01,3.284792027388873237e+01,7.409104772697783403e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.827142455699609158e+01,4.581962316998173890e+01,0.000000000000000000e+00
2.400000000000000000e+01,4.000000000000000000e+01,3.299127232976766777e+01,7.361998215510713806e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.819857115813224624e+01,4.542141099697489182e+01,0.000000000000000000e+00
